symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
ADANIPORTS,EQ,1836.1,1853.7,1828.0,1850.3,1837.4,0.7,495096,9115.8560808,N,12-Jun-2026,Dividend - Rs 7.50 Per Share,0.7,NIFTY,2026-07-20
SDBL,EQ,65.09,71.45,64.1,70.84,65.15,8.73,771280,523.776248,N,20-Sep-2024,Annual General Meeting,8.73,SecGtr20,2026-07-20
TIPSMUSIC,EQ,700.0,741.0,689.15,717.25,669.0,7.21,2867688,20610.6471936,N,23-Jan-2026,Interim Dividend - Rs 5 Per Share,7.21,SecGtr20,2026-07-20
DCMSRIND,EQ,40.4,45.0,40.4,42.77,39.99,6.95,717391,311.7781286,N,03-Jul-2026,Dividend - Re 0.40 Per Share,6.95,SecGtr20,2026-07-20
TREEHOUSE,EQ,6.18,6.68,5.52,6.33,6.08,4.11,75069,4.5341676,N,05-Sep-2024,Annual General Meeting,4.11,SecLwr20,2026-07-20
LAURUSLABS,EQ,1534.9,1572.2,1527.2,1563.0,1529.8,2.17,970300,15064.10156,N,08-May-2026,Interim Dividend - Rs 1.20 Per Share,2.17,FOSec,2026-07-20
SDBL,EQ,65.09,71.45,64.1,70.84,65.15,8.73,771280,523.776248,N,20-Sep-2024,Annual General Meeting,8.73,allSec,2026-07-20
TRENT,EQ,2840.0,2935.0,2837.0,2926.0,2842.4,2.94,1140763,33196.8877578,N,12-Jun-2026,Dividend - Rs 4 Per Share,2.94,NIFTY,2026-07-20
CIPLA,EQ,1425.7,1466.6,1419.5,1457.2,1418.7,2.71,1042464,15120.5233344,N,05-Jun-2026,Dividend - Rs 13 Per Share,2.71,NIFTY,2026-07-20
BHARTIARTL,EQ,1901.2,1941.9,1901.2,1941.6,1908.8,1.72,4654145,89933.4400785,N,18-Jul-2025,Dividend - Rs 16 Per Share,1.72,NIFTY,2026-07-20
JSWSTEEL,EQ,1252.7,1266.6,1247.2,1258.3,1237.3,1.7,2024927,25452.3199265,N,07-Jul-2026,Dividend - Rs 7.10 Per Share,1.7,NIFTY,2026-07-20
DRREDDY,EQ,1213.3,1231.3,1209.6,1229.5,1211.2,1.51,1654366,20155.3064146,N,10-Jul-2026,Dividend - Rs 8 Per Share,1.51,NIFTY,2026-07-20
MAXHEALTH,EQ,1090.6,1104.7,1088.6,1104.7,1089.9,1.36,727717,7973.595169,N,03-Jul-2026,Dividend - Rs 2 Per Share,1.36,NIFTY,2026-07-20
ICICIBANK,EQ,1444.5,1480.0,1439.5,1463.6,1444.3,1.34,17068546,248594.838217,N,12-Aug-2025,Dividend - Rs 11 Per Share,1.34,NIFTY,2026-07-20
NTPC,EQ,343.0,349.3,341.1,346.4,341.85,1.33,9487782,32865.676848,N,06-Feb-2026,Interim Dividend - Rs 2.75 Per Share,1.33,NIFTY,2026-07-20
HCLTECH,EQ,1205.0,1220.0,1200.1,1219.5,1203.9,1.3,2106095,25542.72016,N,17-Jul-2026,Interim Dividend - Rs 12 Per Share,1.3,NIFTY,2026-07-20
ONGC,EQ,248.43,252.4,248.1,250.23,247.29,1.19,7850066,19703.66566,N,18-Feb-2026,Interim Dividend - Rs 6.25 Per Share,1.19,NIFTY,2026-07-20
POWERGRID,EQ,284.7,288.65,283.35,286.9,283.55,1.18,6909240,19806.027384,N,09-Feb-2026,Interim Dividend - Rs 3.25 Per Share,1.18,NIFTY,2026-07-20
SUNPHARMA,EQ,1942.0,1958.8,1935.0,1953.5,1932.6,1.08,798042,15546.9754188,N,07-Jul-2026,Dividend - Rs 5 Per Share,1.08,NIFTY,2026-07-20
NESTLEIND,EQ,1436.0,1449.9,1420.6,1442.6,1427.2,1.08,676337,9745.1369319,N,10-Jul-2026,Dividend - Rs 5 Per Share,1.08,NIFTY,2026-07-20
HINDALCO,EQ,944.35,957.75,944.15,953.5,944.15,0.99,2856281,27164.9460786,N,10-Jul-2026,Dividend - Rs 5 Per Share,0.99,NIFTY,2026-07-20
APOLLOHOSP,EQ,8825.0,8935.0,8771.5,8912.5,8826.0,0.98,199942,17770.1051746,N,16-Feb-2026,Interim Dividend - Rs 10 Per Sh,0.98,NIFTY,2026-07-20
