key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
STRATEGY INDICES,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY QLTY LV 30,16635.5,107.3,0.65,16497.95,16640.25,16481.5,16528.2,0.0,0.0,26.98,5.8,1.63,10,20,0,-2.89,2.45,17-Jul-2026,16476.45,16237.3,17130.7,2026-07-20
STRATEGY INDICES,NIFTY SMALLCAP250 QUALITY 50,NIFTY SML250 Q50,25381.2,16.65,0.07,25317.5,25471.95,25226.6,25364.55,0.0,0.0,25.32,5.02,1.35,23,27,0,-11.04,0.21,17-Jul-2026,25500.3,25328.8,28530.05,2026-07-20
STRATEGY INDICES,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 15 EW,9800.25,-72.35,-0.73,9812.6,9827.15,9752.1,9872.6,0.0,0.0,19.74,3.33,1.28,8,7,0,-4.41,0.72,17-Jul-2026,9776.7,9730.35,10252.75,2026-07-20
STRATEGY INDICES,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,18067.2,147.95,0.83,17948.7,18068.3,17903.05,17919.25,0.0,0.0,21.3,3.39,1.31,7,23,0,0.18,-1.26,17-Jul-2026,18024.1,18298.4,18035.1,2026-07-20
STRATEGY INDICES,NIFTY200 VALUE 30,NIFTY200 VALUE 30,15182.25,181.15,1.21,14989.55,15187.75,14964.25,15001.1,0.0,0.0,8.63,1.4,2.63,3,27,0,14.85,-1.76,17-Jul-2026,15074.45,15454.75,13219.1,2026-07-20
STRATEGY INDICES,NIFTY500 EQUAL WEIGHT,NIFTY500 EW,14933.35,40.95,0.27,14871.35,14946.1,14843.65,14892.4,0.0,0.0,28.26,3.71,0.83,209,289,2,1.7,1.0,17-Jul-2026,15013.1,14784.8,14683.05,2026-07-20
STRATEGY INDICES,NIFTY500 MULTICAP MOMENTUM QUALITY 50,NIFTY MULTI MQ 50,41037.85,297.65,0.73,40717.5,41088.45,40666.45,40740.2,0.0,0.0,31.68,8.11,1.02,17,32,1,-3.62,-4.25,17-Jul-2026,41088.85,42858.15,42577.05,2026-07-20
STRATEGY INDICES,NIFTY500 VALUE 50,NIFTY500 VALUE 50,16125.25,148.2,0.93,15965.5,16131.6,15940.85,15977.05,0.0,0.0,9.73,1.43,2.61,14,35,1,12.69,-2.47,17-Jul-2026,16107.0,16533.15,14309.55,2026-07-20
STRATEGY INDICES,NIFTY TOP 20 EQUAL WEIGHT,NIFTY TOP 20 EW,8770.45,-29.95,-0.34,8761.4,8776.85,8732.9,8800.4,0.0,0.0,21.6,3.6,1.45,8,12,0,-3.59,1.69,17-Jul-2026,8747.0,8624.4,9096.75,2026-07-20
STRATEGY INDICES,NIFTY500 QUALITY 50,NIFTY500 QLTY50,19814.35,95.85,0.49,19718.0,19826.75,19660.05,19718.5,0.0,0.0,27.31,9.27,1.51,21,29,0,-0.56,-0.71,17-Jul-2026,19793.8,19955.7,19926.5,2026-07-20
