key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,_collected_on
STRATEGY INDICES,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,26082.25,193.95,0.75,25890.0,26088.25,25857.85,25888.3,0.0,0.0,0,21.62,5.4,1.05,10,20,0,3.89,-1.51,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,26480.95,26308.05,25104.95,25888.3,2026-07-20
STRATEGY INDICES,NIFTY MIDCAP150 MOMENTUM 50,NIFTYM150MOMNTM50,62641.6,501.0,0.81,62056.55,62645.1,62011.25,62140.6,0.0,0.0,0,28.83,5.67,0.53,13,37,0,1.16,-2.97,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,64557.15,62882.5,61923.1,62140.6,2026-07-20
STRATEGY INDICES,NIFTY500 MOMENTUM 50,NIFTY500MOMENTM50,53436.45,506.2,0.96,52865.85,53443.95,52791.9,52930.25,0.0,0.0,0,33.11,6.54,0.54,17,33,0,0.76,-1.74,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,54381.55,53456.8,53031.5,52930.25,2026-07-20
STRATEGY INDICES,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NIFTYMS400 MQ 100,50715.7,444.35,0.88,50194.95,50727.95,50169.9,50271.35,0.0,0.0,0,31.39,6.64,0.7,33,67,0,0.97,-1.75,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,51617.8,50763.5,50227.4,50271.35,2026-07-20
STRATEGY INDICES,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NIFTYSML250MQ 100,47502.5,246.8,0.52,47154.95,47649.65,47122.65,47255.7,0.0,0.0,0,28.99,4.82,0.75,47,53,0,-1.85,2.37,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,46404.85,47630.3,48398.05,47255.7,2026-07-20
STRATEGY INDICES,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 10 EW,8623.25,-73.75,-0.85,8613.35,8650.15,8582.9,8697.0,0.0,0.0,0,18.51,3.18,1.31,5,5,0,-10.25,-0.15,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,8636.15,8622.5,9608.0,8697.0,2026-07-20
STRATEGY INDICES,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY AQL 30,22972.8,210.3,0.92,22773.95,22981.7,22742.3,22762.5,0.0,0.0,0,29.36,6.81,1.43,10,20,0,2.42,1.66,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,22596.65,22801.7,22430.1,22762.5,2026-07-20
STRATEGY INDICES,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY AQLV 30,20345.25,226.55,1.13,20127.2,20351.7,20105.05,20118.7,0.0,0.0,0,16.79,3.09,1.67,4,26,0,-1.61,1.76,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,19993.25,20122.3,20678.55,20118.7,2026-07-20
STRATEGY INDICES,NIFTY HIGH BETA 50,NIFTY HIGHBETA 50,4445.5,0.8,0.02,4436.9,4447.85,4411.35,4444.7,0.0,0.0,0,20.92,3.68,0.85,26,24,0,16.32,2.33,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,4344.3,4479.9,3821.7,4444.7,2026-07-20
STRATEGY INDICES,NIFTY LOW VOLATILITY 50,NIFTY LOW VOL 50,24688.0,112.9,0.46,24551.2,24690.55,24508.3,24575.1,0.0,0.0,0,26.68,4.53,1.36,14,36,0,-1.31,1.7,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,24274.3,24602.6,25016.0,24575.1,2026-07-20
STRATEGY INDICES,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY QLTY LV 30,16636.25,108.05,0.65,16497.95,16640.25,16481.5,16528.2,0.0,0.0,0,26.98,5.8,1.63,10,20,0,-2.89,2.46,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,16237.3,16476.45,17130.7,16528.2,2026-07-20
STRATEGY INDICES,NIFTY SMALLCAP250 QUALITY 50,NIFTY SML250 Q50,25382.05,17.5,0.07,25317.5,25471.95,25226.6,25364.55,0.0,0.0,0,25.32,5.02,1.35,23,27,0,-11.03,0.21,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,25328.8,25500.3,28530.05,25364.55,2026-07-20
STRATEGY INDICES,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 15 EW,9802.25,-70.35,-0.71,9812.6,9827.15,9752.1,9872.6,0.0,0.0,0,19.74,3.33,1.28,8,7,0,-4.39,0.74,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,9730.35,9776.7,10252.75,9872.6,2026-07-20
