symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
SADBHIN,BE,2.48,2.49,2.36,2.39,2.48,-3.63,188356,4.4828728,N,23-Sep-2024,Annual General Meeting,-3.63,SecLwr20,2026-07-20
TICL,EQ,10.2,10.45,9.77,9.91,10.28,-3.6,331137,32.6501082,N,-,-,-3.6,SecLwr20,2026-07-20
AVROIND,EQ,9.34,9.34,8.61,8.86,9.17,-3.38,210608,18.786233600000003,N,05-May-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-3.38,SecLwr20,2026-07-20
LEXUS,EQ,16.8,16.8,15.5,15.63,16.12,-3.04,62685,10.230191999999999,N,22-Oct-2024,Extra Ordinary General Meeting,-3.04,SecLwr20,2026-07-20
SUBEXLTD,BE,13.12,13.35,12.78,12.91,13.27,-2.71,505004,65.19601639999999,N,29-Jul-2024,Annual General Meeting,-2.71,SecLwr20,2026-07-20
AXISBANK,EQ,1275.0,1284.0,1249.1,1257.9,1328.5,-5.31,20905511,263911.17086400004,N,10-Jul-2026,Dividend - Re 1 Per Share,-5.31,FOSec,2026-07-20
HDFCBANK,EQ,790.0,790.0,774.55,779.95,819.6,-4.84,44332916,346311.0066256,N,19-Jun-2026,Dividend - Rs 13 Per Share,-4.84,FOSec,2026-07-20
AUBANK,EQ,1036.0,1038.6,989.6,993.4,1030.2,-3.57,2138774,21468.1579024,N,04-Jul-2025,Dividend - Re 1 Per Share,-3.57,FOSec,2026-07-20
YESBANK,EQ,23.65,23.65,22.71,22.99,23.61,-2.63,106823787,24590.835767399996,N,03-Jun-2019,Annual General Meeting/ Dividend - Rs 2 Per Share,-2.63,FOSec,2026-07-20
MARUTI,EQ,13824.0,13832.0,13377.0,13470.0,13803.0,-2.41,386740,52477.640102,N,07-Aug-2026,Dividend - Rs 140 Per Share,-2.41,FOSec,2026-07-20
KOTAKBANK,EQ,382.0,383.0,376.1,381.45,389.95,-2.18,22385062,85031.8965132,N,17-Jul-2026,Dividend - Rs 0.65 Per Share,-2.18,FOSec,2026-07-20
CDSL,EQ,1415.0,1415.0,1386.7,1391.6,1418.2,-1.88,883199,12347.2986598,N,17-Jul-2026,Dividend - Rs 12.75 Per Share,-1.88,FOSec,2026-07-20
DELHIVERY,EQ,487.0,493.35,479.85,483.2,492.15,-1.82,5286860,25640.742314,N,20-Sep-2023,Annual General Meeting,-1.82,FOSec,2026-07-20
JIOFIN,EQ,243.0,243.11,238.1,238.99,242.98,-1.64,15448629,37044.267479099995,N,11-Aug-2025,Dividend - Re 0.50 Per Share,-1.64,FOSec,2026-07-20
OFSS,EQ,11800.0,11979.0,11557.0,11580.0,11771.0,-1.62,203779,23842.754337,N,07-May-2026,Interim Dividend - Rs 270 Per Share,-1.62,FOSec,2026-07-20
SWIGGY,EQ,275.99,276.28,270.9,272.58,276.87,-1.55,7172745,19602.394810499998,N,-,-,-1.55,FOSec,2026-07-20
LTF,EQ,307.05,308.45,302.55,305.35,310.05,-1.52,4525539,13808.324596800001,N,22-May-2026,Dividend - Rs 2.75 Per Share,-1.52,FOSec,2026-07-20
